name,gender
Abdon,m
Abel,m
Abercjusz,m
Abraham,m
Absalon,m
Achacjusz,m
Achacy,m
Achilles,m
Ada,f
Adalbert,m
Adam,m
Adamina,f
Adaukt,m
Addar,m
Adela,f
Adelajda,f
Adelina,f
Ado,m
Adolf,m
Adolfa,f
Adolfina,f
Adria,f
Adrian,m
Adriana,f
Adrianna,f
Afanazy,m
Afrodyta,f
Aga,f
Agapit,m
Agata,f
Agaton,m
Agatonik,m
Agenor,m
Ageusz,m
Agnieszka,f
Agrypina,f
Aida,f
Aisza,f
Alan,m
Alban,m
Albaniusz,m
Albert,m
Alberta,f
Albertyna,f
Albin,m
Albina,f
Albrecht,m
Aldona,f
Aleksander,m
Aleksandra,f
Aleksy,m
Alf,m
Alfons,m
Alfonsyna,f
Alfred,m
Alfreda,f
Ali,m
Alicja,f
Alina,f
Alma,f
Alojza,f
Alojzy,m
Alpinian,m
Amadea,f
Amadeusz,m
Amalia,f
Amata,f
Ambroży,m
Amedeusz,m
Amelia,f
Amiceta,f
Amin,m
Amon,m
Amos,m
Ananiasz,m
Anastazja,f
Anastazy,m
Anatol,m
Anatolia,f
Andonik,m
Andromeda,f
Andron,m
Andrzej,m
Aneta,f
Angel,m
Angela,f
Angelika,f
Angelina,f
Angelus,m
Anicet,m
Aniceta,f
Aniela,f
Anita,f
Anna,f
Antoni,m
Antonin,m
Antonina,f
Antym,m
Anzelm,m
Apolinary,m
Apollo,m
Apolonia,f
Apoloniusz,m
Areta,f
Ariadna,f
Ariel,m
Ariela,f
Arkadiusz,m
Arkady,m
Arleta,f
Arletta,f
Arnold,m
Arnolf,m
Aron,m
Arseniusz,m
Artemon,m
Artur,m
Artus,m
Arystarch,m
Aspazja,f
Asteria,f
Asteriusz,m
Atanazja,f
Atanazy,m
August,m
Augusta,f
Augustyn,m
Augustyna,f
Auksencjusz,m
Aurela,f
Aureli,m
Aurelia,f
Aurelian,m
Aureliusz,m
Aurora,f
Axel,m
Balbin,m
Balbina,f
Balcer,m
Baltazar,m
Barabasz,m
Barbara,f
Barnaba,m
Bartłomiej,m
Bartolomea,f
Bartosz,m
Bazyli,m
Bazylid,m
Bazylis,m
Bazylissa,f
Bazyliusz,m
Będzimir,m
Będzisław,m
Będzisława,f
Bean,m
Beata,f
Beatrice,f
Beatrycze,f
Beatryks,m
Beatus,m
Beda,f
Begina,f
Benedykt,m
Benedykta,f
Beniamin,m
Benicjusz,m
Benigna,f
Benignus,m
Benita,f
Benon,m
Berenika,f
Berenike,f
Berna,f
Bernadeta,f
Bernadetta,f
Bernard,m
Bernardeta,f
Bernardyn,m
Bernardyna,f
Berno,m
Berta,f
Bertold,m
Bertram,m
Bertrand,m
Bibianna,f
Biernat,m
Biruta,f
Bjorn,m
Blandyn,m
Blandyna,f
Blanka,f
Blizbor,m
Błażej,m
Bogdan,m
Bogdana,f
Bogna,f
Boguchwał,m
Boguchwała,f
Bogudar,m
Bogumił,m
Bogumiła,f
Bogumir,m
Bogurad,m
Bogusąd,m
Bogusław,m
Bogusława,f
Bogusz,m
Boguta,f
Boguwola,f
Bohdan,m
Bohdana,f
Bohusz,m
Bolebor,m
Boleczest,m
Bolemir,m
Bolemysł,m
Bolesław,m
Bolesława,f
Bolisława,f
Bonawentura,m
Bonifacy,m
Bończa,f
Borys,m
Borysław,m
Borzymir,m
Borzysław,m
Borzysława,f
Borzywoj,m
Bożebor,m
Bożeciech,m
Bożeciecha,f
Bożena,f
Bożydar,m
Bożymierz,m
Bożysław,m
Bożysława,f
Bożywoj,m
Bratumił,m
Bratumiła,f
Brodzisław,m
Bronimir,m
Bronisław,m
Bronisława,f
Bronisz,m
Broniwoj,m
Bruno,m
Brunon,m
Bryda,f
Brygida,f
Brykcjusz,m
Budzigniew,m
Budzimir,m
Budzisław,m
Budzisława,f
Budzisz,m
Budziwoj,m
Burchard,m
Carmen,f
Cecyl,m
Cecylia,f
Cecylian,m
Cecyliusz,m
Celestyn,m
Celestyna,f
Celina,f
Cezara,f
Cezariusz,m
Cezary,m
Cezaryna,f
Charyzjusz,m
Chociebor,m
Chociemir,m
Chociesław,m
Chrystian,m
Chryzant,m
Chwalibóg,m
Chwalimir,m
Chwalimira,f
Chwalisław,m
Chwalisława,f
Cibor,m
Ciechomir,m
Ciechosław,m
Ciechosława,f
Cierpisław,m
Cieszybor,m
Cieszygor,m
Cieszymir,m
Cieszymysł,m
Cieszyrad,m
Cieszysław,m
Cieszysława,f
Cyntia,f
Cyprian,m
Cyriak,m
Cyriaka,f
Cyrus,m
Cyryl,m
Czcibor,m
Czcibora,f
Czcirad,m
Czcisław,m
Czech,m
Czechasz,m
Czechoń,m
Czesemir,m
Czesław,m
Czesława,f
Częstobor,m
Częstogniew,m
Częstomir,m
Częstowoj,m
Dacjan,m
Dadąbog,m
Dagmara,f
Dagna,f
Dagobert,m
Dalebor,m
Dalegor,m
Dalemir,m
Dalia,f
Dalida,f
Damazy,m
Damian,m
Dan,m
Daniel,m
Daniela,f
Danisz,m
Danuta,f
Daria,f
Dariusz,m
Darosław,m
Dawid,m
Dawida,f
Dąbrówka,f
Delfin,m
Delfina,f
Demetria,f
Demetriusz,m
Demokryt,m
Dersław,m
Dezyderia,f
Dezyderiusz,m
Dezydery,m
Diana,f
Dianna,f
Dina,f
Diogenes,m
Diomada,f
Dionizja,f
Dionizjusz,m
Dionizy,m
Ditta,f
Długosz,m
Dobiegniew,m
Dobiemiest,m
Dobiemir,m
Dobiesław,m
Dobiesława,f
Dobisława,f
Dobrawa,f
Dobrocha,f
Dobrochna,f
Dobrociech,m
Dobrogniew,m
Dobrogost,m
Dobromierz,m
Dobromił,m
Dobromiła,f
Dobromir,m
Dobromira,f
Dobromysł,m
Dobronieg,m
Dobroniega,f
Dobrosław,m
Dobrosława,f
Dobrowiest,m
Dobrowit,m
Dobrowój,m
Dobrymir,m
Dolores,m
Domamir,m
Domarad,m
Domarat,m
Domasław,m
Domasława,f
Domawit,m
Domicela,f
Domicjan,m
Dominik,m
Dominika,f
Domisława,f
Domosław,m
Domosława,f
Donat,m
Donata,f
Dorian,m
Doris,m
Dorota,f
Dragomir,m
Drogomił,m
Drogomir,m
Drogomysł,m
Drogosław,m
Drogosława,f
Duszan,m
Dymitr,m
Dymitriusz,m
Dytrych,m
Dyzma,f
Dziersław,m
Dziersława,f
Dzierżykraj,m
Dzierżymir,m
Dzierżysław,m
Dzierżysława,f
Eberhard,m
Edda,f
Edgar,m
Edmund,m
Edward,m
Edwin,m
Edyta,f
Efrem,m
Egbert,m
Egon,m
Eleonora,f
Eliasz,m
Eliga,f
Eligiusz,m
Eliza,f
